pdf_filename,contract_id,contract_name,contract_type,parties,effective_date,expiration_date,contract_value,business_area,project_scope,relationship_type,parent_contracts,child_contracts,key_terms,confidence,analysis_notes,text_length,analysis_timestamp
03_Unilever_SOW_BA_Apr-Dec'2021_Leela_Krishna 2.pdf,68993A88-4031-4EDD-9497-364F4C0480BA,Business Analyst/SAP SME for Implementation of Logistics AERA,,RAJENDRAN SELVAKUMAR; Anirudh Kunjal,,,"33,09,900 42,435",,,,,,,0.95,O contrato não contém informações suficientes para preencher todos os campos. Alguns campos foram deixados como nulos.,796,2025-08-19T18:37:49.536445
0_Jabra_Connect_India_Private_LTD_Q4-Jabra_Evolve_65_Duo_(Wireless_Headset)-_3_Units___UU02R951_Web_ (1).pdf,2E461F7C-41ED-49F0-BA45-BE70E01921D2,,Sales Contract,Jabra Connect India Private Ltd; Unilever Industries Pvt. Ltd.,12-10-2021,December 31st 2021,7000 + 18% GST,Headset Technology,Supply of Jabra Evolve 65 Duo (Wireless Headset),Vendor-Customer,,,"Delivery Terms: 7 Business days; Payment: As per agreement; Transport & Insurance Charges: All transport & In Land Insurance charges to be borne by buyer at Actual; Octroi or Entry Tax: Extra on actual basis, if applicable; Warranty: 12/24 months from the date of purchase as per manufacturer policy",0.95,The contract is a sales agreement between Jabra Connect India Private Ltd and Unilever Industries Pvt. Ltd. for the supply of Jabra Evolve 65 Duo (Wireless Headset). The contract value is 7000 + 18% GST. The contract is effective from 12-10-2021 and expires on December 31st 2021.,3844,2025-08-19T18:38:01.808764
【御見積書】_ローカルアプリケーションサポート①_202207-12 7.pdf,ITO-220287,ローカルアプリケーションサポート業務①,準委任契約,トランス・コスモス株式会社; ユニリーバ・ジャパン・ホールディングス合同会社,2022年7月1日,2022年12月31日,"¥4,800,000",ITサービス,ローカルアプリケーションサポート,ビジネスパートナーシップ,,,業務進捗管理; サポートチーム運用管理; Remedyチケット管理; 定例報告会開催,0.95,日本のビジネスコントラクトの分析。特定の情報（親契約、子契約など）は提供されていません。,4175,2025-08-19T18:38:16.246235
【御見積書】_ローカルアプリケーションサポート①_202207-12 5.pdf,ITO-220287,ローカルアプリケーションサポート業務①,準委任契約,トランス・コスモス株式会社; ユニリーバ・ジャパン・ホールディングス合同会社,2022年7月1日,2022年12月31日,"¥4,800,000",ITサービス,ローカルアプリケーションサポート,ビジネスパートナーシップ,,,業務進捗管理; サポートチーム運用管理; Remedyチケット管理; 定例報告会開催,0.95,日本語の契約書の解析。一部の情報は契約書から直接抽出できなかった。,4175,2025-08-19T18:38:36.293427
(DMR_)_4382-SOW_RADAR.docx.pdf,,Statement of Work Between Unilever U.K. Central Resources Limited & Capgemini Technology Services India Limited For ARA –RADAR Implementation,SoW,Unilever U.K. Central Resources Limited; Capgemini Technology Services India Limited; Unilever Business and Marketing Support AG; Capgemini International BV,10-Mar-2023,31-Dec-2023,"€ 1,39,999",IT infrastructure,Deployment of resources to the RADAR project,Business,Unilever Purchasing Agreement; Master Service Agreement,,Deployment of Consultants; Automated Regulatory Assessment (ARA); RADAR – Regulatory Affairs Digital Assessment of Raw Materials; Commercial Impact; Payment Schedule,0.95,"The contract involves the deployment of consultants for the RADAR project. The contract value is € 1,39,999 and it is effective from 10-Mar-2023 to 31-Dec-2023. The contract is a Statement of Work (SoW) and it is related to the Unilever Purchasing Agreement and Master Service Agreement.",4962,2025-08-19T18:38:49.115931
(UKCR_230720_01_v1)_UKCR_-_Procurement_Data_Insights_Astitva_Jul_Dec_2023 (1).pdf,UKCR_230720_01_v1,Statement of Work between Unilever U.K. Central Resources Ltd & Ernst & Young LLP for Project - Procurement Data Insights LTP,SoW,Unilever U.K. Central Resources Ltd; Ernst & Young LLP,"25th July, 2023",31st December 2023,,Procurement IT,"The Scope of the given Project is to deliver impactful data insights to the business using Power BI and machine learning. Our experienced professional would assist Unilever in managing complex programs across supply chain projects that focus delivering value, reducing risk and enhancing enterprise alignment.",Professional Services,CW67101,,"Statement of Work; Project Background; Overall Project Scope; Geographical Scope; Functional Scope; Systems Scope; Technical Scope; Project Approach; Project Timelines; Project Team Structure; Overall Project Assumptions; Fees; Travel expenses; Team Scope, Deliverables and Key Activities",0.95,The contract value is not explicitly stated in the contract.,7880,2025-08-19T18:39:07.853495
(UKCR_230217_01_v1)_UKCR_-_SC_Procurement_Business_Partnering_SoW_Feb'23_Jun'23.pdf,UKCR_230217_01_v1,Statement of Work between Unilever U.K. Central Resources Ltd & Ernst & Young LLP for Global supply chain - Procurement,SoW,Unilever U.K. Central Resources Ltd; Ernst & Young LLP,1st Feb 2023,30th June 2023,,Global supply chain - Procurement,"Unilever Supply Chain Procurement is building system capabilities, cloud ready and integrated with multiple external systems as part of Global supply chain projects. EY team will help Unilever project managers in driving the project.",Professional Services,CW67101,,Supply chain - Procurement; Project management; Cost optimization; Knowledge management; Transition of supply and distribution management activities,0.95,The contract does not provide explicit information on the contract value. The contract also does not specify any child contracts.,8000,2025-08-19T18:39:18.304253
(UKCR_230214_05_v1)_UKCR_-_ML_Poland_Gen3_SoW_Mar'23_June'23_(1).pdf,UKCR_230214_05_v1,Statement of Work between Unilever U.K.Central Resources Ltd & Ernst & Young LLP for project ML enabled Demand Forecasting,SoW,Unilever U.K.Central Resources Ltd; Ernst & Young LLP,27th March 2023,June 2023,,Supply Chain,ML enabled Demand Forecasting for improving the Demand Planning KPIs by leveraging Machine Learning capabilities. EY will be delivering ML models for Poland under the program Integrated Operations Program.,Professional Services,CW67101,,"ML enabled Demand Forecasting; Mar 2023 - June 2023; Project Code: ML enabled Demand Forecasting; Geographical scope includes Poland; Functional Scope: Project will be led by Global I&A Director; Technical Scope: EY Team will work with Unilever Team; Models which will include Total Volume Forecast, Baseline, Long Term Forecast; Granularity of the Model will be at GTIN – Customer Planning - Week Level; All models will be developed using Python and on Azure Databricks; The success criteria for the would be according to the one mentioned in the approved BOSCARD; Mandatory Data: Sales data, Product mappings, Customer mappings, GTIN transitions, GTIN delisting, Demand planner data, Promo data, Holiday data, APG mapping; Optional Data: Dispatch rate, Pricing information; The integration with Kinaxis schema will be done with FEU outputs; Lead Allocation from EY for every Market will be done in collaboration with Unilever; External data like weather, holiday calendar needs to be provided by Unilever; Project is closed once the PGLS phase of 4 weeks is completed",0.95,The contract is a Statement of Work (SoW) between Unilever U.K.Central Resources Ltd and Ernst & Young LLP for a project named 'ML enabled Demand Forecasting'. The project involves improving the Demand Planning KPIs by leveraging Machine Learning capabilities. The geographical scope of the project includes Poland. The contract is effective from March 2023 and expires in June 2023. The parent contract is CW67101.,10078,2025-08-19T18:39:46.662477
(UKCR_220817_01_v2)_UKCR_-_IA_Data_Lake_GauravChaudhury_SoW_Sep'22_Nov'22(DMR_No-1581_).pdf,UKCR_220818_02_v1,Statement of Work between Unilever U.K. Central Resources Ltd and Ernst & Young LLP for Project I&A Data Lake,SoW,Unilever U.K. Central Resources Ltd; Ernst & Young LLP,1st September 2022,30th Nov 2022,,Data Management,"The Project helps Unilever in having a cloud-based system called ‘Data Lake’. This Project further helps Unilever in building Centralized repository of data to support storage, analytics, visualization and action.",Professional Services,CW67101,,Project Name: I&A Data Lake; Statement Of Work: Sep 2022 to Nov 2022; MSA/UPA Agreement#: CW67101; Project Code: I&A Data Lake; Geographical Scope: Global landscapes of Unilever; Functional Scope: Led by ES IT Innovation Director and the Global solution Delivery project team; Systems Scope: Non-system consulting project; Technical Scope: EY team assists in project management; Project Approach: Testing of BDL data; Project Timelines: Valid till 30th Nov 2022; Project Team Structure: Lead Consultant (1 no.); Overall Project Assumptions: Fees based on man days per team member and standard agreed rates,0.95,The contract is a Statement of Work (SoW) for a project named 'I&A Data Lake'. The project involves building a cloud-based system for Unilever. The contract is effective from September 2022 and expires in November 2022. The parties involved are Unilever U.K. Central Resources Ltd and Ernst & Young LLP.,8437,2025-08-19T18:40:03.659891
(UKCR_230720_02_v1)_UKCR_-_Procurement_Data_Insights_Shenoy_Jul_Dec_2023.pdf,UKCR_230720_02_v1,Statement of Work between Unilever U.K. Central Resources Ltd & Ernst & Young LLP for Project - Procurement Data Insights DE,SoW,Unilever U.K. Central Resources Ltd; Ernst & Young LLP,"25th July, 2023",31st December 2023,,Procurement IT,The Scope of the given Project is to deliver impactful data insights to the business using Power BI and machine learning.,Professional Services,CW67101,,"Project Name: Procurement Data Insights DE; Statement Of Work: Jul 2023 to Dec 2023; MSA/UPA Agreement#: CW67101; Project Code: Procurement Data Insights DE; Project Background; Overall Project Scope; Geographical Scope; Functional Scope; Systems Scope; Technical Scope; Project Approach; Project Timelines; Project Team Structure; Overall Project Assumptions; Fees; Travel expenses; Team Scope, Deliverables and Key Activities",0.95,"The contract is a Statement of Work (SoW) between Unilever U.K. Central Resources Ltd and Ernst & Young LLP for a project named 'Procurement Data Insights DE'. The contract is effective from 25th July, 2023 and expires on 31st December 2023. The project involves delivering impactful data insights to the business using Power BI and machine learning.",7833,2025-08-19T18:40:18.288109
